"Watershed","Anthropogenic","ClimateChange","Fire","LandCover","Landscape","Natural","WaterUse","PhysBio","WaterQuality","InstreamBio"
0.977888336097291,1,0.419568822553897,0.359756097560976,0,0.861838440111421,0.974018794914317,0,0.904919845218353,0.999447208402432,0.495854063018242
0.920950801547816,1,0.404643449419569,0.110864745011086,0,0.995543175487465,0.909342177998894,0,0.946379215035931,0.979546710889994,0.980099502487562
0.00608070757324489,0.0182421227197347,0.399115533443892,0.417960088691796,0.312790697674419,0.114763231197772,0.0364842454394693,0.721354166666667,0.0773908236594804,0.100608070757324,0.119955776672195
0.297954671088999,0.301271420674406,0.40187949143173,0.409645232815965,0.293023255813953,0.304178272980501,0.393587617468214,0.100260416666667,0.354892205638474,0.416804864566059,0.302377003869541
0.316196793808734,0.182974018794914,0.400221116639027,0.348669623059867,0.21046511627907,0.548189415041783,0.573244886677723,0.4453125,0.56661138750691,0.469872857932559,0.523493642896628
0.0259812050856827,0.0497512437810945,0.414593698175788,0.503325942350333,0.365116279069767,0.21058495821727,0.0491984521835268,0.69921875,0.26644555002764,0.181315644002211,0.346600331674959
0.136539524599226,0.112769485903814,0.396351575456053,0.522727272727273,0.303488372093023,0.33983286908078,0.203980099502488,0.548177083333333,0.494748479823107,0.305693753454947,0.377003869541183
0.279712548369265,0.0829187396351575,0.38971807628524,0.476718403547672,0.581395348837209,0.516991643454039,0.61746821448314,0.459635416666667,0.533996683250415,0.0563847429519071,0.466556108347153
0.274737423991155,0.0746268656716418,0.358208955223881,0.537139689578714,0.167441860465116,0.451810584958217,0.624101713653953,0.688802083333333,0.42620232172471,0.0746268656716418,0.447208402432283
0.0729684908789386,0.033167495854063,0.318407960199005,0.471729490022173,0.188372093023256,0.313091922005571,0.24930901050304,0.5546875,0.424543946932007,0.0807075732448867,0.378662244333886
0.574350469872858,1,0.442786069651741,0.17350332594235,0.245348837209302,0.387186629526462,0.428413488114981,0.0494791666666667,0.327252625760088,0.390270867882808,0.307904919845218
0.168601437258154,0.0812603648424544,0.516307352128248,0.145232815964523,0.562790697674419,0.514763231197772,0.327805417357656,0.498697916666667,0.502487562189055,0.0961857379767828,0.516307352128248
0.259812050856827,0.0923161967938087,0.496959646213378,0.475055432372506,0.302325581395349,0.688022284122563,0.557766721945826,0.6328125,0.704256495301271,0.135986733001658,0.403537866224433
0.170259812050857,0.11387506909895,0.70702045328911,0.293237250554324,0.556976744186046,0.578272980501393,0.301271420674406,0.424479166666667,0.692647871752349,0.0967385295743505,0.454394693200663
0.857379767827529,1,0.852957435046987,0.237250554323725,0.725581395348837,0.861838440111421,0.833609729132117,0,0.87893864013267,0.853510226644555,0.972360420121614
0.374239911553344,0.485903814262023,0.885019347705915,0.491130820399113,0.583720930232558,0.427855153203343,0.275843007186291,0,0.527363184079602,0.67551133222775,0.669983416252073
0.142067440574903,0.357103372028745,0.934217799889442,0.340909090909091,0.527906976744186,0.16100278551532,0.0552791597567717,0.802083333333333,0.163073521282477,0.247650635710337,0.252625760088447
0.621890547263682,0.424543946932007,0.930348258706468,0.254988913525499,0.673255813953488,0.504178272980501,0.709231619679381,0.313802083333333,0.339966832504146,0.134881149806523,0.362631288004422
0.688778330569375,0.521835268103925,0.817025981205086,0.241685144124169,0.834883720930233,0.474094707520891,0.690436705362078,0.276041666666667,0.297954671088999,0.339966832504146,0.373687119955777
0.241017136539525,0.106135986733002,0.723604201216142,0.264966740576497,0.676744186046512,0.332590529247911,0.509673852957435,0.6875,0.243228302929795,0.243781094527363,0.337755666113875
